ic10_group	DeNovoCluster	n	fisher_p	chisq_p
IntClust{8,9,10}	C1	43	0.00173867659085411	0.00126849286108808
Other IntClust	C1	15	0.00173867659085411	0.00126849286108808
IntClust{8,9,10}	C2	123	0.00173867659085411	0.00126849286108808
Other IntClust	C2	10	0.00173867659085411	0.00126849286108808
