Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
FOXM1	GO:0006606	protein import into nucleus	12/333	158/13095	0.0759493670886076	2.98665754361957	4.05820218144762	0.00071430247247046	0.00835526419043248	0.00722570223298356	HDAC3/NUP188/NUP107/RAN/CDK1/KPNA2/ECT2/PHB2/SUFU/NUP62/SNUPN/STAT3	12
FOXM1	GO:0071392	cellular response to estradiol stimulus	5/333	29/13095	0.172413793103448	6.78005591798695	5.03336734089515	0.000741431337151234	0.00863675594805508	0.00746913865525123	CCNA2/DDX18/H2AZ1/KIF18A/HNRNPD	5
FOXM1	GO:0051170	import into nucleus	12/333	164/13095	0.0731707317073171	2.87738958470666	3.90804168312055	0.000991636669651042	0.0110056054005759	0.00951773944016499	HDAC3/NUP188/NUP107/RAN/CDK1/KPNA2/ECT2/PHB2/SUFU/NUP62/SNUPN/STAT3	12
FOXM1	GO:0008340	determination of adult lifespan	5/333	31/13095	0.161290322580645	6.34263295553618	4.8105752736857	0.0010175918274006	0.0111618340912151	0.00965284731623916	RAD54L/ATN1/CGAS/MSH2/MSH6	5
FOXM1	GO:0031503	protein-containing complex localization	8/333	83/13095	0.0963855421686747	3.7902963204168	4.11923207162608	0.00120879221044549	0.0127148703031562	0.0109959259991821	BIRC5/CEP72/FKBP4/RAN/KIF2C/RCC2/LMNB2/LMNB1	8
FOXM1	GO:0007163	establishment or maintenance of cell polarity	14/333	217/13095	0.0645161290322581	2.53705318221447	3.68802168392496	0.00132849726007501	0.0139220586474032	0.0120399125585354	CENPA/CKAP5/HDAC3/KIF2C/ATN1/NDE1/PLK1/SKA3/SKA1/MAD2L1/NDC80/KIF20B/SAPCD2/BCCIP	14
FOXM1	GO:0046601	positive regulation of centriole replication	3/333	10/13095	0.3	11.7972972972973	5.5173065030395	0.00171226023569522	0.0171774434321168	0.014855196500731	PLK4/STIL/NUP62	3
FOXM1	GO:0022613	ribonucleoprotein complex biogenesis	22/333	437/13095	0.0503432494279176	1.97971426804379	3.3647788123905	0.00183784842042479	0.0181150164236975	0.0156660174519831	C1QBP/DDX18/WBP11/EIF3B/EXOSC2/RAN/SF1/EMG1/DKC1/LSG1/NOB1/RCL1/GEMIN4/NOP58/NOLC1/PRPF8/REXO5/PDCD11/SF3B2/SF3B3/SF3A3/STRAP	22
FOXM1	GO:0031507	heterochromatin formation	9/333	121/13095	0.0743801652892562	2.92494974313156	3.43616530650471	0.00372193542813654	0.0350907557589194	0.0303467785656195	DNMT1/H2AZ1/HDAC3/CDK2/EZH2/LMNB2/LMNB1/POLE3/HNRNPK	9
FOXM1	GO:0051290	protein heterotetramerization	3/333	13/13095	0.230769230769231	9.07484407484407	4.70508705749049	0.00385600961554677	0.036113259489124	0.0312310483287509	CPSF7/RRM2/RRM1	3
