sample_id	cohort	composite_score	pc1_score
TCGA-PL-A8LZ-01A	TCGA	-0.291083114294155	-0.896510818009649
TCGA-C8-A1HJ-01A	TCGA	1.21897508543701	3.43921077475144
TCGA-E2-A14X-01A	TCGA	-0.482513150708998	-1.32512390710375
TCGA-AN-A04D-01A	TCGA	0.808147570394789	2.2930073788086
TCGA-A2-A3XU-01A	TCGA	0.502660543093298	1.1231260503559
TCGA-D8-A1JM-01A	TCGA	0.691565807757107	1.86913770817175
TCGA-AN-A0XU-01A	TCGA	0.300025562213833	1.01919823939597
TCGA-AN-A0AT-01A	TCGA	0.991624075701581	2.89197125778585
TCGA-B6-A0RE-01A	TCGA	0.398304739333892	1.03307555258246
TCGA-B6-A0I6-01A	TCGA	0.203075673541973	0.685035013771409
TCGA-A2-A3XY-01A	TCGA	-0.659777046635044	-1.9039546594181
TCGA-S3-AA10-01A	TCGA	0.623678312840412	1.76708814719401
TCGA-E2-A14R-01A	TCGA	0.507441286189401	1.38517949208209
TCGA-A2-A0ST-01A	TCGA	-0.732361716599143	-2.11222398290564
TCGA-D8-A27F-01A	TCGA	0.331403387332957	1.05165900733634
TCGA-BH-A0B3-01A	TCGA	0.332100633222833	0.945097526974804
TCGA-AN-A0FJ-01A	TCGA	0.265290754502952	0.794582489114375
TCGA-E9-A243-01A	TCGA	-0.764954418685938	-2.02231361076248
TCGA-E2-A159-01A	TCGA	-0.0827417271542494	-0.279555128131972
TCGA-EW-A3U0-01A	TCGA	-0.523008315933667	-1.50937398749593
TCGA-HN-A2NL-01A	TCGA	1.38109975176084	3.88513648123031
TCGA-AN-A0AL-01A	TCGA	-0.554100767629516	-1.53637285618856
TCGA-E2-A1LL-01A	TCGA	0.0280742977933127	0.123095894692266
TCGA-AC-A7VC-01A	TCGA	-0.404923054290371	-1.27710732761808
TCGA-BH-A0E0-01A	TCGA	0.514289727095893	1.23049306239618
TCGA-AR-A1AJ-01A	TCGA	-0.0746006752506943	-0.271455302404694
TCGA-E9-A244-01A	TCGA	0.314087890226861	1.06838092962833
TCGA-EW-A1P4-01A	TCGA	0.15177419960861	0.492748883811745
TCGA-BH-A0BG-01A	TCGA	-0.599207978008884	-1.57559788912208
TCGA-B6-A409-01A	TCGA	-0.148495552955183	-0.651657034171069
TCGA-A2-A0SX-01A	TCGA	-0.357073958710412	-0.952255068432191
TCGA-E2-A14Y-01A	TCGA	0.345854213160824	0.977999513029277
TCGA-AR-A256-01A	TCGA	0.667202033967628	2.02629941901149
TCGA-AO-A0JL-01A	TCGA	-0.628150255738013	-2.02779844091247
TCGA-AC-A2QJ-01A	TCGA	-1.49018210376064	-4.53533153365641
TCGA-D8-A27H-01A	TCGA	-1.52403313756326	-3.9751402184285
TCGA-BH-A18Q-01A	TCGA	-0.48685456489081	-1.17665412476832
TCGA-B6-A0IJ-01A	TCGA	0.753188094754681	2.00249109016001
TCGA-BH-A1F0-01A	TCGA	-0.770716840248414	-2.12350461170496
TCGA-E2-A1LK-01A	TCGA	-0.236541634796875	-0.666128101179721
TCGA-LL-A6FR-01A	TCGA	-0.655336529150226	-2.06166883822623
TCGA-AN-A0FX-01A	TCGA	-0.622385482484518	-1.62625841933155
TCGA-A2-A3Y0-01A	TCGA	0.652304317077702	1.56182284501271
TCGA-B6-A0X1-01A	TCGA	0.753364565207964	2.18230389526267
TCGA-GI-A2C9-01A	TCGA	-0.710988357791002	-1.83438394609219
TCGA-D8-A1JK-01A	TCGA	-0.918552549553178	-2.55295171204302
TCGA-B6-A400-01A	TCGA	0.16085956890403	0.426306456820977
TCGA-A7-A4SE-01A	TCGA	0.00684029030261537	-0.041225074172288
TCGA-OL-A5RW-01A	TCGA	0.0260793567364224	-0.127526417454626
TCGA-D8-A1XK-01A	TCGA	1.01616649909585	2.96452210521407
TCGA-OL-A66I-01A	TCGA	0.0704097496236909	0.0252741356051194
TCGA-AR-A1AH-01A	TCGA	0.986501179592523	2.72943745069569
TCGA-OL-A6VO-01A	TCGA	1.04702817028776	2.90269453850928
TCGA-AR-A1AY-01A	TCGA	0.81327874150004	2.34277847084831
TCGA-E2-A573-01A	TCGA	0.329364165784087	0.759222087098797
TCGA-AR-A1AQ-01A	TCGA	0.652407769484481	1.65944066463614
TCGA-BH-A0RX-01A	TCGA	-0.266072571612161	-0.947857165129181
TCGA-AR-A5QQ-01A	TCGA	-0.196713724388962	-0.654432714019699
TCGA-E2-A158-01A	TCGA	0.0501593925412142	0.184513585607009
TCGA-A2-A3XS-01A	TCGA	-0.178286853093681	-0.63642948466037
TCGA-E9-A5FL-01A	TCGA	-0.828838892488536	-2.59919799708198
TCGA-A2-A25F-01A	TCGA	-0.732630035390427	-1.94065085312841
TCGA-A7-A13D-01A	TCGA	0.0144789565224666	0.026105895533611
TCGA-AC-A8OQ-01A	TCGA	-0.431064364831752	-1.30206048395529
TCGA-D8-A27M-01A	TCGA	-1.37302045962455	-3.67675842104212
TCGA-A7-A26I-01A	TCGA	-0.395778680514345	-0.856208420254334
TCGA-B6-A1KF-01A	TCGA	0.327646038322557	0.868922394703639
TCGA-A8-A07C-01A	TCGA	0.988625124298253	3.05338656824269
TCGA-EW-A1PB-01A	TCGA	-0.114290937243346	-0.528456445275015
TCGA-E2-A1AZ-01A	TCGA	0.453533006953922	1.32614399054353
TCGA-AO-A0J4-01A	TCGA	-0.32886760871245	-0.709027265946915
TCGA-EW-A1OW-01A	TCGA	0.324652749869132	0.992418808743105
TCGA-AR-A0TP-01A	TCGA	-0.402169541932743	-0.924859202574682
TCGA-A2-A0CM-01A	TCGA	0.5488428853887	1.56105174788466
TCGA-A2-A4RX-01A	TCGA	-1.56801960945452	-4.28734530976334
TCGA-E9-A3QA-01A	TCGA	-0.0472936833073702	-0.256738420260936
TCGA-OL-A5D7-01A	TCGA	1.32724592040469	3.41982598046326
TCGA-E9-A1N8-01A	TCGA	0.460714138806688	1.41016459361486
TCGA-A7-A26I-01B	TCGA	-1.56890226209792	-4.21087279119217
TCGA-A2-A04T-01A	TCGA	0.793543224920773	2.25043229691673
TCGA-D8-A1JL-01A	TCGA	-0.296258100826824	-0.689064729001128
TCGA-AO-A0J6-01A	TCGA	0.25502379210877	0.668465162361135
TCGA-LL-A73Y-01A	TCGA	-1.78973796453714	-4.82313248378433
TCGA-AN-A0AR-01A	TCGA	0.764339047602664	1.97384953934078
TCGA-E2-A1LG-01A	TCGA	-0.102624303442487	-0.184543686459226
TCGA-E9-A1ND-01A	TCGA	-0.558612344237358	-1.6411693515047
TCGA-AR-A1AR-01A	TCGA	0.277027175009354	0.846112633508867
TCGA-C8-A27B-01A	TCGA	0.564728973725907	1.75774373769013
