gene	lfc_tcga	padj_tcga	lfc_mtbrc	padj_mtbrc	sig_tcga	sig_mtbrc	concordant	category
AASDH	-0.444943449535641	2.28075153186414e-10	-0.196557084687027	1.32950286727603e-06	FALSE	FALSE	FALSE	Not DE
AATF	0.667889685886394	3.5254186757836e-28	0.144855459548389	0.00436331696106063	TRUE	FALSE	FALSE	TCGA only
ABCF1	0.931924400415188	1.03892539227047e-66	0.276044056604243	5.38554164499664e-09	TRUE	FALSE	FALSE	TCGA only
ABCF2	0.994175156763807	3.08950724973309e-42	0.489106636292163	7.18182742337308e-22	TRUE	FALSE	FALSE	TCGA only
ABCF3	0.621306229344142	8.55379979635401e-26	0.160553225550764	6.42763622716727e-05	TRUE	FALSE	FALSE	TCGA only
ABT1	0.76683511949576	2.13611110060977e-40	0.118163157398034	1.25284815033088e-05	TRUE	FALSE	FALSE	TCGA only
ACAA2	-0.718429772062628	1.77387514381367e-13	0.315872059593351	3.44145608798561e-08	TRUE	FALSE	FALSE	TCGA only
ACADVL	-0.757726033176771	3.62671787844697e-19	-0.338537214007854	3.48885760677757e-11	TRUE	FALSE	FALSE	TCGA only
ACAT1	-1.02695060985502	4.5702672161842e-25	-0.114278385670113	0.103865961044286	TRUE	FALSE	FALSE	TCGA only
ACIN1	0.000259013678610183	0.995627625651601	-0.107127349314183	0.00748350247904832	FALSE	FALSE	FALSE	Not DE
ACLY	0.161176020682093	0.0414627422960192	-0.0427996674995514	0.470117527544602	FALSE	FALSE	FALSE	Not DE
ACO2	-0.181264809134278	0.0375867312567776	0.107226452668832	0.0197586521310322	FALSE	FALSE	FALSE	Not DE
ACOT13	0.315248416871012	2.31911396375021e-08	0.401420398451224	2.12105191026071e-15	FALSE	FALSE	FALSE	Not DE
ACOT9	0.279210652089343	0.000506093922842766	0.603158902054294	1.05036174068022e-22	FALSE	TRUE	FALSE	METABRIC only
ACSF2	-1.04663290945442	1.00047577945129e-26	-0.532340465752962	2.42760434447282e-17	TRUE	TRUE	TRUE	Concordant down
ADAR	1.03412764535495	3.6282503468488e-66	0.377051398949493	1.32939324073721e-10	TRUE	FALSE	FALSE	TCGA only
ADNP	0.413720589779544	1.65052928622729e-14	0.161300562071329	0.000772794931631669	FALSE	FALSE	FALSE	Not DE
AFF4	-0.638355278498381	6.29186060612962e-15	-0.372304254398522	1.36338101154116e-07	TRUE	FALSE	FALSE	TCGA only
AFG3L2	0.621137355922135	6.21108331304305e-17	0.512388128698048	4.58611009148582e-20	TRUE	TRUE	TRUE	Concordant up
AGFG1	0.133285007684208	0.0712427581445067	0.296845432842279	4.02610778937795e-14	FALSE	FALSE	FALSE	Not DE
AGFG2	-0.669046276828282	2.44243743656522e-21	NA	NA	TRUE	FALSE	FALSE	TCGA only
AGGF1	-0.412445692290722	1.63661233915347e-18	-0.329332890247657	2.40201895807684e-16	FALSE	FALSE	FALSE	Not DE
AHCTF1	0.740682275528982	1.07810629418415e-26	0.112030107392495	0.0243220738372234	TRUE	FALSE	FALSE	TCGA only
AHCY	1.03361064744772	4.31435994659256e-37	0.297343182183601	0.000150846038324354	TRUE	FALSE	FALSE	TCGA only
AHCYL1	-0.44294712103433	1.98892974911602e-18	-0.291334290032581	1.08799839104873e-09	FALSE	FALSE	FALSE	Not DE
AHCYL2	-0.135055800019651	0.119132787468816	-0.117738178717235	0.008644148400835	FALSE	FALSE	FALSE	Not DE
AHNAK	-2.43565321073041	2.9505384256178e-126	-1.03895081013081	1.09498900764703e-44	TRUE	TRUE	TRUE	Concordant down
AHSA1	0.844030869707416	4.61084597922148e-42	0.369472892186325	1.17572431131682e-14	TRUE	FALSE	FALSE	TCGA only
AIF1L	0.376004353800975	0.00227524036198613	0.914766468785632	1.23139862235058e-21	FALSE	TRUE	FALSE	METABRIC only
AIMP1	0.13721632265256	0.00779701429902157	NA	NA	FALSE	FALSE	FALSE	Not DE
AK4	-0.656934043600785	1.56323621962391e-07	-0.0103506607723458	0.93311879230486	TRUE	FALSE	FALSE	TCGA only
AKAP12	-3.35858800999401	1.91179964478392e-104	-0.292385690790463	4.3229252299453e-16	TRUE	FALSE	FALSE	TCGA only
AKAP8L	0.364692874062013	1.63847852607122e-10	-0.0158877613250698	0.821233593888911	FALSE	FALSE	FALSE	Not DE
ALDH18A1	1.23132627292376	4.23097749703946e-86	0.226329134651174	1.00145141252746e-05	TRUE	FALSE	FALSE	TCGA only
ALDH9A1	-0.284839524454236	0.0017309097148005	-0.0195067209712339	0.758737755325986	FALSE	FALSE	FALSE	Not DE
ALDOA	0.675368046876329	4.16975396073987e-10	-0.0309225380830809	0.799734357303791	TRUE	FALSE	FALSE	TCGA only
ALG9	-0.645070319402135	1.52691414642515e-20	0.0502353292720208	0.229287245808503	TRUE	FALSE	FALSE	TCGA only
ALKBH3	-0.13352723301848	0.152895504552709	-0.27238551283491	1.20204516728783e-06	FALSE	FALSE	FALSE	Not DE
ALKBH5	0.0621865761286552	0.301610857017461	-0.0137905788259524	0.735350740174561	FALSE	FALSE	FALSE	Not DE
ALYREF	2.01742223313747	1.49653526526422e-133	0.858760853472357	2.58558022230535e-27	TRUE	TRUE	TRUE	Concordant up
ANAPC16	-0.357217150131973	6.56431452673293e-10	-0.238283486531293	6.74460987892579e-06	FALSE	FALSE	FALSE	Not DE
ANKRD11	0.20343303286918	0.0020872264066652	0.312780406831735	3.236924578271e-10	FALSE	FALSE	FALSE	Not DE
ANLN	4.51284767400179	0	1.24893398459184	1.26976342571725e-68	TRUE	TRUE	TRUE	Concordant up
ANXA1	-1.34349290008275	3.76404420859422e-29	0.0962457661870766	0.339601794212453	TRUE	FALSE	FALSE	TCGA only
ANXA2	0.160984368928036	0.108921837627409	0.750671300578144	1.03536645959257e-14	FALSE	TRUE	FALSE	METABRIC only
AP2A1	0.374449751112327	3.50234624509675e-09	-0.00171965116633102	0.965107469722096	FALSE	FALSE	FALSE	Not DE
AP2A2	-0.106046612843942	0.053580504040579	-0.170620810718768	2.02155978424422e-07	FALSE	FALSE	FALSE	Not DE
APBB1	-0.915939018362823	1.34019486212798e-21	NA	NA	TRUE	FALSE	FALSE	TCGA only
APC2	-0.126086330802953	0.22898984407374	NA	NA	FALSE	FALSE	FALSE	Not DE
APEX1	0.333539619349025	1.16724241365514e-07	-0.0681017191309299	0.281705166296613	FALSE	FALSE	FALSE	Not DE
API5	0.302288058758978	9.44309183661545e-09	0.139153700145019	0.00299120696610265	FALSE	FALSE	FALSE	Not DE
APIP	0.0576238850644951	0.521405029490122	0.007893524063997	0.911917550418247	FALSE	FALSE	FALSE	Not DE
ARFGAP1	1.13084480654129	8.77736391954029e-47	-0.0193071108069766	0.757542543045358	TRUE	FALSE	FALSE	TCGA only
ARFGAP2	0.0989743954825388	0.0703152856335769	-0.125069868962614	0.00108473257091729	FALSE	FALSE	FALSE	Not DE
ARFIP1	-0.386924928915166	9.26692076087329e-11	-0.27225785018021	1.09790908892548e-09	FALSE	FALSE	FALSE	Not DE
ARFIP2	-0.106317054870293	0.147295163246158	NA	NA	FALSE	FALSE	FALSE	Not DE
ARHGAP5	-0.774692959362046	1.85425032745729e-09	NA	NA	TRUE	FALSE	FALSE	TCGA only
ARHGEF17	-0.474203016545841	1.55949494060471e-11	-0.202504568633721	1.61322686527614e-08	FALSE	FALSE	FALSE	Not DE
ARID1A	0.135537276303917	0.0244962935434199	-0.205155734400883	0.000114291965657242	FALSE	FALSE	FALSE	Not DE
ARID2	-0.167736191799797	0.062580148696854	-0.079107657187314	0.0175381700198948	FALSE	FALSE	FALSE	Not DE
ARID3A	0.412921797122701	1.72468191006777e-05	-0.0169390190644315	0.751113500085452	FALSE	FALSE	FALSE	Not DE
ARID3B	0.412426720893123	1.33487360103288e-07	-0.0580454573116889	0.113715794958409	FALSE	FALSE	FALSE	Not DE
ARID4B	0.189177139693175	0.0067537202551877	0.0391399896017819	0.55791457876076	FALSE	FALSE	FALSE	Not DE
ARL3	-0.0469850234698553	0.516497019342258	-0.360293786795464	1.15403260373224e-12	FALSE	FALSE	FALSE	Not DE
ARL6IP4	0.682980924595418	3.96503503076905e-05	-0.0798031037688535	0.0715554843037546	TRUE	FALSE	FALSE	TCGA only
ARMC1	0.747538174367027	3.0479574957918e-30	0.290542407537541	6.28943144823874e-08	TRUE	FALSE	FALSE	TCGA only
ARPC2	0.566298593102366	5.92011655334855e-26	0.267082103244272	1.63328930379057e-14	TRUE	FALSE	FALSE	TCGA only
ARPC5	1.10238441126737	1.2679336090604e-77	0.514429496946234	3.06463318371803e-20	TRUE	TRUE	TRUE	Concordant up
ARPP19	-0.476393389830881	8.53902825344261e-15	-0.144744340007507	0.0182385467024859	FALSE	FALSE	FALSE	Not DE
ASPSCR1	1.13718969231171	6.75412975479257e-37	-0.0264447052428181	0.69200794468759	TRUE	FALSE	FALSE	TCGA only
ASXL2	-0.193729644264507	0.013856016769102	0.105741105115051	0.00677505022769406	FALSE	FALSE	FALSE	Not DE
ATF1	-0.227779510831336	0.000111229720115161	0.0488590087703707	0.116853824342308	FALSE	FALSE	FALSE	Not DE
ATF2	-0.166554005574601	0.0158905129830579	0.168482888517271	1.28860119642158e-06	FALSE	FALSE	FALSE	Not DE
ATF7IP	0.0964787247916113	0.164983910287869	NA	NA	FALSE	FALSE	FALSE	Not DE
ATG12	-0.389874283110749	3.92159741642551e-14	-0.440199777810829	3.48540410227057e-12	FALSE	FALSE	FALSE	Not DE
ATP6V1E1	-0.0324684329010156	0.582538215706884	-0.0753804192064329	0.0886154561727794	FALSE	FALSE	FALSE	Not DE
ATP6V1E2	0.498805842080673	1.43912146473908e-11	0.447806823265158	1.0578837613505e-20	FALSE	FALSE	FALSE	Not DE
ATP6V1G1	0.381822527628134	4.61816020750279e-10	-0.284522985288703	1.44514548900856e-08	FALSE	FALSE	FALSE	Not DE
ATP6V1G2	-0.281499122080983	0.0346504803780625	-0.379536880230338	1.43141267403968e-12	FALSE	FALSE	FALSE	Not DE
ATPAF1	-0.367920110843776	2.39044296020868e-08	-0.0194778218325243	0.699417499370344	FALSE	FALSE	FALSE	Not DE
ATRIP	0.121763276002654	0.0397541009569772	-0.29098109821848	1.34016577161657e-08	FALSE	FALSE	FALSE	Not DE
ATRX	-0.45274188158835	2.20325491870038e-07	-0.0479369691662066	0.166608184129938	FALSE	FALSE	FALSE	Not DE
ATXN2L	0.749304707868976	2.81716723355891e-44	0.147460292699864	0.000186066891852853	TRUE	FALSE	FALSE	TCGA only
ATXN3	-0.316988621672766	2.10477196125057e-07	-0.0364520535006919	0.467142648859817	FALSE	FALSE	FALSE	Not DE
AUH	-0.816005108602075	1.4275391723306e-38	-0.368301446193871	8.64543954431589e-14	TRUE	FALSE	FALSE	TCGA only
AURKA	3.83979823537284	0	1.47861230577975	2.03005310621163e-61	TRUE	TRUE	TRUE	Concordant up
AURKB	4.67944343982188	0	1.73190961188199	2.85780046780063e-79	TRUE	TRUE	TRUE	Concordant up
AURKC	-0.0504217860122712	0.68448409382031	NA	NA	FALSE	FALSE	FALSE	Not DE
BAG2	1.42744363118517	5.89352718049092e-31	NA	NA	TRUE	FALSE	FALSE	TCGA only
BAG6	0.640132727323153	6.65857214613761e-36	0.0261601561044748	0.553853771589179	TRUE	FALSE	FALSE	TCGA only
BAZ1A	0.715497491887365	4.87483457092936e-32	0.331589306676632	4.51874297421621e-13	TRUE	FALSE	FALSE	TCGA only
BAZ1B	0.635655546511154	4.68552125686713e-30	0.263183546210458	1.69594984287458e-11	TRUE	FALSE	FALSE	TCGA only
BAZ2A	-0.473910304371299	4.8075668944689e-15	NA	NA	FALSE	FALSE	FALSE	Not DE
BBS9	-0.362783092850488	1.24047108011763e-07	-0.167992132363521	1.37249487425919e-05	FALSE	FALSE	FALSE	Not DE
BBX	-0.493931628604636	1.29238080087001e-12	-0.168350181815391	0.000395306652704383	FALSE	FALSE	FALSE	Not DE
BCL9	1.15961688970651	5.77216462236196e-48	0.109730126036898	0.0529460731580676	TRUE	FALSE	FALSE	TCGA only
BCLAF1	-0.164518804092353	0.00412051053883992	0.08812537475504	0.0435811213516239	FALSE	FALSE	FALSE	Not DE
BCOR	0.0736958880042769	0.338375930309645	-0.10858017884888	0.0152456335122822	FALSE	FALSE	FALSE	Not DE
BEND3	1.75200848277262	9.07980631574327e-123	0.563371856521253	6.99823932820325e-39	TRUE	TRUE	TRUE	Concordant up
