gene	log2FoldChange	lfcSE	stat	pvalue	padj
CENPA	4.61073985902994	0.106162267853455	43.4310603216818	0	0
FOXM1	4.75196016230154	0.124027179416766	38.3138614023755	3.6066792146411e-321	1.26364205842941e-318
HMGA1	2.69627484317446	0.0981046230038996	27.4836675440594	2.75228587767829e-166	2.05076432342662e-164
CHCHD3	0.720621199798834	0.0664341489454367	10.847150317086	2.05740026367083e-27	7.56063605040562e-27
E2F7	3.72218701943642	0.140628301829512	26.4682640052708	2.2489073107194e-154	1.48131026742465e-152
ZNF232	0.714891714580244	0.0803835747230364	8.89350488633307	5.9211057521814e-19	1.62640280936065e-18
VEZF1	-0.633401892149872	0.0709627545506246	-8.92583575934901	4.42346443289953e-19	1.22237269368278e-18
