cohort	n	HR	lower95	upper95	p	FDR
TCGA	193	0.814040544478238	0.548767796114633	1.20754536389741	0.306489511856152	0.612979023712303
METABRIC	209	0.960510630466379	0.802635490714565	1.14943916872848	0.660102190210671	0.660102190210671
