gene	logFC	AveExpr	t	P.Value	adj.P.Val
CENPA	1.64819177147196	7.17270098080408	26.490468048299	1.75735020305226e-86	2.10460260317538e-82
FOXM1	1.55101592662633	6.8461576893108	21.6007917506667	6.60962649055882e-67	1.93065577685201e-64
HMGA1	1.29310573944107	8.80052026951985	16.2572215933979	6.26909811806281e-45	3.52482249116996e-43
CHCHD3	0.651531105194402	7.45872271187223	13.71464656269	1.02185083688026e-34	2.34888399663685e-33
E2F7	0.661520267544837	6.02860028746638	13.8159148119177	4.08348886030347e-35	9.64573226646832e-34
ZNF232	0.390734200537	7.12948940521524	7.0221401171375	1.09953817148989e-11	4.00976526850270e-11
VEZF1	-0.628895754078528	9.71301133109205	-11.8246679130623	1.79513870226098e-27	2.33934505966023e-26
