IntClust	DeNovoCluster	n	group_n	low_n_group
1	C1	3	5	TRUE
10	C1	21	68	FALSE
2	C1	3	4	TRUE
3	C1	1	2	TRUE
4	C1	5	8	FALSE
5	C1	1	1	TRUE
6	C1	1	4	TRUE
7	C1	1	1	TRUE
8	C1	3	28	FALSE
9	C1	19	70	FALSE
1	C2	2	5	TRUE
10	C2	47	68	FALSE
2	C2	1	4	TRUE
3	C2	1	2	TRUE
4	C2	3	8	FALSE
5	C2	0	1	TRUE
6	C2	3	4	TRUE
7	C2	0	1	TRUE
8	C2	25	28	FALSE
9	C2	51	70	FALSE
