regulator	NES_TCGA	NES_MTBRC	pval_TCGA	pval_MTBRC	NES_meta	pval_meta	FDR_meta
FOXA1	1.85907540767149	2.03324241071485	0.0630164505390338	0.0420280382346974	2.75228432391421	0.00591811144014921	0.259330362747254
GLYR1	1.33767816000536	2.49038928946917	0.18100137340008	0.0127603243638444	2.70685245236293	0.00679244386066619	0.259330362747254
ZNF672	1.78366085177439	1.90448004171032	0.0744787911012411	0.0568476935517668	2.60790943575445	0.00910970526370074	0.259330362747254
ZSCAN32	0.759953097442414	2.92361531618612	0.447282621135321	0.00345992041909601	2.60467620424131	0.00919611215415793	0.259330362747254
CXXC5	2.79504815982426	0.445117433937126	0.00518919841912259	0.656234890466386	2.29114306351601	0.021955140696478	0.451736739515835
MAZ	1.58721347570985	1.64152544663339	0.11246430373405	0.100688389277105	2.28306318666985	0.0224266466426301	0.451736739515835
IRX5	1.89901087165959	1.15085746373218	0.0575630465852422	0.24979087962262	2.15658258168164	0.0310382029183582	0.494130370459294
POGK	0.8201061043448	2.17695253558535	0.412155622610901	0.0294841090314514	2.11924048790834	0.03407014821961	0.494130370459294
CENPA	2.65382008458477	0.327117865050852	0.00795862486349375	0.74357874012886	2.10784143848367	0.0350447071247726	0.494130370459294
FOXM1	2.41024907523488	0.228105583197156	0.0159416330413576	0.819564159744763	1.86559847015241	0.0620975638315201	0.60295602483994
DNTTIP1	1.26629435790828	1.28695796664464	0.205407716179586	0.198108939228354	1.80542203277169	0.0710086659611651	0.60295602483994
GLMP	1.36586769791997	1.18159992711798	0.171980493088663	0.237364482479704	1.80133163251753	0.0716506248869233	0.60295602483994
SETDB1	0.67607518769237	1.73218816129245	0.498992909202421	0.0832400661989696	1.70289934495019	0.0885869066500522	0.60295602483994
AHCTF1	0.492904165668203	1.83205158833914	0.622080303765494	0.0669437350365409	1.64399197961727	0.100177859085804	0.607896505740683
E2F2	2.34792123876168	-0.0452270646434562	0.0188785128168695	0.963926321851798	1.62825066551775	0.103471745657989	0.607896505740683
RARA	2.15817691567683	-0.0496055388468022	0.0309140794584718	0.960436732706686	1.49098511917237	0.135965401842054	0.762632909311969
RELA	1.17547274844843	0.816309067633207	0.239805633604145	0.414323389537657	1.40840242879538	0.15901194044975	0.762632909311969
SNAPC2	1.07939261458623	0.904675440060891	0.280412741867157	0.365637356019902	1.40294797577658	0.160632353057082	0.762632909311969
NR2F6	1.69736853027707	0.0895556824793473	0.0896270083299263	0.928640303089036	1.2635462283065	0.206392944071403	0.82237874539101
HMGA1	1.73562974689519	0.0372998931190722	0.0826293226899267	0.970245890713532	1.25365057102071	0.209969041376428	0.82237874539101
ZNF24	0.289124237045491	1.44434116529856	0.772486306783246	0.14864303165376	1.22574514094975	0.220294597237995	0.832666752808743
ZNF205	0.906779544907225	0.811339581452816	0.364523388934852	0.417170685431797	1.21489368513549	0.224406642600938	0.832666752808743
PATZ1	0.358398965647316	1.2139042798016	0.720044765608364	0.224784278428554	1.11178628693854	0.266230049301941	0.878723673541009
GZF1	0.309249581381633	1.25731353859354	0.757131680555144	0.20864012347163	1.1077274052912	0.267979560016052	0.878723673541009
LIN54	0.122425831347629	1.40967326271025	0.902561781923676	0.158636183141531	1.08335765885809	0.278649701701298	0.89294563499734
CHCHD3	1.54806001473704	-0.0623216693119967	0.121607847870636	0.950306672401154	1.05057565911893	0.29345352523725	0.902585130381042
TGIF2	1.93224814187195	-0.449605201568774	0.0533288857497084	0.652995136815551	1.04838687716673	0.294460397145588	0.902585130381042
PA2G4	1.6569339511047	-0.221438646161275	0.0975328293365465	0.824750903934611	1.01504846448694	0.3100827258824	0.91086800727955
SLC2A4RG	1.33805855051848	0.0739600203091033	0.180877351126482	0.941042197266865	0.998447906593525	0.318062213100862	0.915240245861664
GRHL2	1.14168541844723	0.197819703831064	0.25358480400981	0.843186129378804	0.947173155397096	0.343550552061737	0.950300474505199
CENPX	1.50625188553829	-0.167232866914324	0.132002524466801	0.867186824493607	0.946829428206761	0.343725703544434	0.950300474505199
MTERF3	1.35684511034816	-0.0757180933553127	0.174830430620971	0.939643380900787	0.905893601276936	0.364992171466411	0.950385024576922
PCGF2	2.09477031943655	-0.831786280274967	0.0361914147555549	0.40552958934573	0.893064578621528	0.371822590479013	0.950385024576922
XBP1	0.720069619507383	0.48477678449135	0.47148213172664	0.627834692379728	0.851955062555731	0.394239033906216	0.950385024576922
CEBPG	1.01532221042873	0.17533758822233	0.309952260428681	0.860814378097185	0.841923617712375	0.399830709456347	0.950385024576922
GPBP1	0.0500186433679988	1.127769004136	0.960107531657146	0.259417486863383	0.83282163234783	0.404945332605058	0.950385024576922
ZKSCAN2	0.516181256754405	0.610919449564215	0.605727819862143	0.541252908036036	0.796980552518044	0.425462325974023	0.950385024576922
VEZF1	-0.224964516490675	1.3004986768356	0.822006878469897	0.193430109472332	0.760517498177678	0.446945313860227	0.950385024576922
HSF1	1.14617374468881	-0.0711648099451252	0.25172326918865	0.943266587976258	0.760146107593383	0.447167254668377	0.950385024576922
DNMT1	1.56512232346991	-0.515470205846758	0.117554230189446	0.606224484272157	0.742216130258148	0.45795639709448	0.950385024576922
PREB	1.09738811510291	-0.0660037933405154	0.272471766577378	0.947374805393567	0.729298847927679	0.465818876852255	0.950385024576922
NR1H2	0.964484522662127	0.0410786743342186	0.334803064381891	0.967233175666705	0.71104055550774	0.477059104724323	0.950385024576922
NAIF1	0.974683578626574	0.00495497197284015	0.329717241022889	0.996046520541138	0.692709062240607	0.488492150836835	0.950385024576922
TFDP1	0.204056183153847	0.737895230615989	0.83830959462736	0.46057811743677	0.666060232224907	0.505372601947161	0.950385024576922
