Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
FOXM1	R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	6/250	21/8827	0.285714285714286	10.088	7.11824425085334	1.84462638909102e-05	0.000259711683670434	0.000196945073120996	FEN1/POLE/RFC5/POLD1/POLD3/POLE3	6
FOXM1	R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	8/250	42/8827	0.19047619047619	6.72533333333333	6.34948936106078	1.89668238869889e-05	0.000262868324808737	0.000199338823417531	CHEK1/BLM/EXO1/RFC5/RBBP8/RAD51/RHNO1/RAD51AP1	8
FOXM1	R-HSA-113510	E2F mediated regulation of DNA replication	6/250	22/8827	0.272727272727273	9.62945454545454	6.91853697995706	2.4766085079812e-05	0.00033796180716605	0.000256283860178135	CCNB1/CDK1/E2F1/ORC1/PRIM2/TFDP1	6
FOXM1	R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	5/250	14/8827	0.357142857142857	12.61	7.42196006737129	2.84322293493281e-05	0.000382111930800819	0.000289763868488368	EXO1/MSH2/MSH6/POLD1/POLD3	5
FOXM1	R-HSA-8953750	Transcriptional Regulation by E2F6	7/250	33/8827	0.212121212121212	7.48957575757576	6.37623488132664	3.05690736130573e-05	0.000404698034250475	0.000306891406735956	CHEK1/EZH2/E2F1/RRM2/RBBP8/RAD51/TFDP1	7
FOXM1	R-HSA-380320	Recruitment of NuMA to mitotic centrosomes	11/250	88/8827	0.125	4.4135	5.49407564179792	3.51464661278994e-05	0.000458454639050688	0.0003476562206769	CEP72/CKAP5/HAUS4/CDK1/NDE1/NEK2/PLK1/PLK4/ODF2/TUBA1C/TUBA1B	11
FOXM1	R-HSA-4570464	SUMOylation of RNA binding proteins	8/250	46/8827	0.173913043478261	6.14052173913043	5.96758190251524	3.80186060297937e-05	0.00048873193548445	0.000370616159466639	NUP210/NUP188/NUP107/NOP58/NUP62/NUP37/HNRNPK/HNRNPC	8
FOXM1	R-HSA-5358508	Mismatch Repair	5/250	15/8827	0.333333333333333	11.7693333333333	7.1265849379789	4.1666617659696e-05	0.000527975569487862	0.000400375468940537	EXO1/MSH2/MSH6/POLD1/POLD3	5
FOXM1	R-HSA-157579	Telomere Maintenance	11/250	91/8827	0.120879120879121	4.268	5.34971556789138	4.82196151811713e-05	0.000602405615009844	0.000456817406979518	CCNA2/BLM/CDK2/FEN1/DAXX/DKC1/RFC5/POLR2D/POLD1/POLD3/PRIM2	11
FOXM1	R-HSA-5617833	Cilium Assembly	16/250	181/8827	0.0883977900552486	3.12114917127072	4.92251608961242	5.23151046749354e-05	0.000644493025648162	0.00048873321472637	C2CD3/CEP72/CKAP5/HAUS4/IQCB1/CCT4/CCT5/CDK1/NDE1/NEK2/PLK1/PLK4/ODF2/TCP1/TUBA1C/TUBA1B	16
FOXM1	R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	9/250	63/8827	0.142857142857143	5.044	5.49938972695707	6.31585073451749e-05	0.000767419123495481	0.000581950774240328	BUB1B/CCNA2/CCNB1/CDC20/CDK1/BUB3/NEK2/PLK1/MAD2L1	9
FOXM1	R-HSA-73933	Resolution of Abasic Sites (AP sites)	7/250	37/8827	0.189189189189189	6.67989189189189	5.91058891562527	6.6876777212169e-05	0.000801617586313431	0.0006078842196099	FEN1/POLE/RFC5/PARP1/POLD1/POLD3/POLE3	7
FOXM1	R-HSA-5620912	Anchoring of the basal body to the plasma membrane	11/250	96/8827	0.114583333333333	4.04570833333333	5.12243191700892	7.9318109898103e-05	0.000938068846394898	0.000711358206665092	C2CD3/CEP72/CKAP5/HAUS4/IQCB1/CDK1/NDE1/NEK2/PLK1/PLK4/ODF2	11
FOXM1	R-HSA-1852241	Organelle biogenesis and maintenance	20/250	273/8827	0.0732600732600733	2.58666666666667	4.54638970298012	9.12626332688481e-05	0.00106513099617721	0.000807712225191052	C2CD3/CARM1/CEP72/CKAP5/HAUS4/HDAC3/IQCB1/CCT4/CCT5/CDK1/NDE1/NEK2/PLK1/PLK4/ODF2/TWNK/TCP1/TUBA1C/TUBA1B/PPRC1	20
FOXM1	R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	7/250	39/8827	0.179487179487179	6.33733333333333	5.70290145273228	9.51975351227821e-05	0.00108256684171677	0.000820934209763263	CHEK1/BLM/EXO1/RFC5/RBBP8/RAD51/RHNO1	7
FOXM1	R-HSA-5696400	Dual Incision in GG-NER	7/250	39/8827	0.179487179487179	6.33733333333333	5.70290145273228	9.51975351227821e-05	0.00108256684171677	0.000820934209763263	ERCC3/POLE/RFC5/PARP1/POLD1/POLD3/POLE3	7
FOXM1	R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	9/250	67/8827	0.134328358208955	4.74286567164179	5.25017585100967	0.000103388661577255	0.0011608321875826	0.000880284540278031	BUB1B/CCNA2/CCNB1/CDC20/CDK1/CDK2/BUB3/PLK1/MAD2L1	9
FOXM1	R-HSA-69205	G1/S-Specific Transcription	6/250	28/8827	0.214285714285714	7.566	5.94083507609692	0.0001084081316995	0.00120197516021821	0.000911484159947115	CDK1/E2F1/ORC1/RRM2/TYMS/TFDP1	6
FOXM1	R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	5/250	18/8827	0.277777777777778	9.80777777777778	6.38592122894655	0.00011086859585911	0.00120373218854466	0.000912816553112252	CCNB2/CCNB1/CDK1/TMPO/VRK1	5
FOXM1	R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	7/250	40/8827	0.175	6.1789	5.60443025068947	0.000112637848533492	0.00120373218854466	0.000912816553112252	BLM/EXO1/RFC5/RBBP8/RAD51/RHNO1/RAD51AP1	7
FOXM1	R-HSA-9701190	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	7/250	40/8827	0.175	6.1789	5.60443025068947	0.000112637848533492	0.00120373218854466	0.000912816553112252	BLM/EXO1/RFC5/RBBP8/RAD51/RHNO1/RAD51AP1	7
FOXM1	R-HSA-380259	Loss of Nlp from mitotic centrosomes	9/250	68/8827	0.132352941176471	4.67311764705882	5.19094339023812	0.000116260314275312	0.00121321057367296	0.000920004220704944	CEP72/CKAP5/HAUS4/CDK1/NDE1/NEK2/PLK1/PLK4/ODF2	9
FOXM1	R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome	9/250	68/8827	0.132352941176471	4.67311764705882	5.19094339023812	0.000116260314275312	0.00121321057367296	0.000920004220704944	CEP72/CKAP5/HAUS4/CDK1/NDE1/NEK2/PLK1/PLK4/ODF2	9
FOXM1	R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	6/250	30/8827	0.2	7.0616	5.67760097065274	0.000162932041545967	0.00168047349827062	0.00127433995774631	DTL/POLE/RFC5/POLD1/POLD3/POLE3	6
FOXM1	R-HSA-5685939	HDR through MMEJ (alt-NHEJ)	4/250	11/8827	0.363636363636364	12.8392727272727	6.70764141734783	0.000177193331012915	0.00180655729435006	0.00136995206917426	FEN1/POLQ/PARP1/RBBP8	4
FOXM1	R-HSA-68949	Orc1 removal from chromatin	8/250	57/8827	0.140350877192982	4.95550877192982	5.11474803267179	0.000184017807540078	0.00185481585554601	0.0014065475959104	CCNA2/CDK2/MCM2/MCM4/MCM6/MCM7/ORC1/SKP2	8
FOXM1	R-HSA-389960	Formation of tubulin folding intermediates by CCT/TriC	5/250	20/8827	0.25	8.827	5.98247089369613	0.000191514782108892	0.00188748457478431	0.00143132100312962	CCT4/CCT5/TCP1/TUBA1C/TUBA1B	5
FOXM1	R-HSA-69186	Lagging Strand Synthesis	5/250	20/8827	0.25	8.827	5.98247089369613	0.000191514782108892	0.00188748457478431	0.00143132100312962	FEN1/RFC5/POLD1/POLD3/PRIM2	5
FOXM1	R-HSA-168333	NEP/NS2 Interacts with the Cellular Export Machinery	6/250	31/8827	0.193548387096774	6.8338064516129	5.55487785593387	0.000197295784213359	0.00192309187469505	0.0014583228006054	NUP210/NUP188/NUP107/RAN/NUP62/NUP37	6
FOXM1	R-HSA-9770562	mRNA Polyadenylation	12/250	126/8827	0.0952380952380952	3.36266666666667	4.56023688744485	0.000227590474110544	0.00219426902756579	0.00166396239080821	CHERP/CPSF7/CSTF2/RBMX/POLR2D/HNRNPR/HNRNPK/HNRNPC/HNRNPD/SF3B2/SF3B3/SF3A3	12
FOXM1	R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	8/250	59/8827	0.135593220338983	4.78752542372881	4.9832830163208	0.000235188676142198	0.00223761202865441	0.0016968303403669	CHEK1/ERCC3/FANCI/SUPT16H/MDC1/MSH2/POLR2D/SSRP1	8
FOXM1	R-HSA-174417	Telomere C-strand (Lagging Strand) Synthesis	6/250	32/8827	0.1875	6.62025	5.43747110874631	0.000237131376204639	0.00223761202865441	0.0016968303403669	BLM/FEN1/RFC5/POLD1/POLD3/PRIM2	6
FOXM1	R-HSA-3108214	SUMOylation of DNA damage response and repair proteins	9/250	76/8827	0.118421052631579	4.18121052631579	4.75504494084657	0.000276042738882602	0.00253587126940415	0.00192300687254406	NUP210/NUP188/NUP107/BLM/MDC1/SMC3/NUP62/NUP37/PARP1	9
