Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
E2F7	R-HSA-2980766	Nuclear Envelope Breakdown	6/151	52/8877	0.115384615384615	6.78323993886908	5.50180307690384	0.000234179275625778	0.00515515199904965	0.00515515199904965	NUP107/LMNB1/NUP153/LEMD3/NUP188/TMPO	6
E2F7	R-HSA-8953750	Transcriptional Regulation by E2F6	5/151	34/8877	0.147058823529412	8.64530580444098	5.87521851143356	0.00024905295348203	0.00526529845688831	0.00526529845688831	EZH2/RBBP4/TFDP1/RRM2/CDC7	5
E2F7	R-HSA-5617833	Cilium Assembly	11/151	181/8877	0.0607734806629834	3.57275621089605	4.6001042425553	0.000252349129769753	0.00526529845688831	0.00526529845688831	IFT81/KIF24/CEP152/CEP78/RAB3IP/TUBA1B/NEDD1/C2CD3/CEP83/CCP110/CEP97	11
E2F7	R-HSA-9975921	Assembly of the 9+0 primary cilium	11/151	181/8877	0.0607734806629834	3.57275621089605	4.6001042425553	0.000252349129769753	0.00526529845688831	0.00526529845688831	IFT81/KIF24/CEP152/CEP78/RAB3IP/TUBA1B/NEDD1/C2CD3/CEP83/CCP110/CEP97	11
E2F7	R-HSA-1362277	Transcription of E2F targets under negative control by DREAM complex	4/151	19/8877	0.210526315789474	12.3764377831997	6.52987360012883	0.000255565202014492	0.00526529845688831	0.00526529845688831	RBBP4/TFDP1/TOP2A/CDC6	4
E2F7	R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	4/151	19/8877	0.210526315789474	12.3764377831997	6.52987360012883	0.000255565202014492	0.00526529845688831	0.00526529845688831	LMNB1/LEMD3/KPNB1/TMPO	4
E2F7	R-HSA-69186	Lagging Strand Synthesis	4/151	20/8877	0.2	11.7576158940397	6.33544646021149	0.000315252956370195	0.00641280380869497	0.00641280380869497	POLD3/PRIM1/POLA1/RFC5	4
E2F7	R-HSA-9645723	Diseases of programmed cell death	7/151	82/8877	0.0853658536585366	5.0184945889194	4.8088575040836	0.000469057744387399	0.00942219744038188	0.00942219744038188	EZH2/LMNB1/RBBP4/H2AZ2/PRIM1/POLA1/DNMT1	7
E2F7	R-HSA-1474165	Reproduction	8/151	110/8877	0.0727272727272727	4.27549668874172	4.54713156536227	0.000551260071073173	0.0109367275828962	0.0109367275828962	LMNB1/BLM/TOP3A/PSMC3IP/H2AZ2/CDK2/SMC3/SMC1A	8
E2F7	R-HSA-174411	Polymerase switching on the C-strand of the telomere	4/151	24/8877	0.166666666666667	9.79801324503311	5.6772042119296	0.000655773532644806	0.0128515617921976	0.0128515617921976	POLD3/PRIM1/POLA1/RFC5	4
