variable	n	rho	p	FDR
TCGA: composite vs pathologic_stage	191	0.0352617443042031	0.628188094885695	0.628188094885695
TCGA: composite vs age_at_diagnosis	195	-0.196418409637026	0.00592217050451308	0.0118443410090262
TCGA: composite vs Grade	182	0.218370956422617	0.00306130836267601	0.00918392508802802
METABRIC: composite vs GRADE	206	0.276342835203063	5.8023667304777e-05	0.000348142003828662
METABRIC: composite vs TUMOR_STAGE	144	0.214182852271942	0.00994371562855702	0.0149155734428355
METABRIC: composite vs AGE_AT_DIAGNOSIS	209	-0.132613130588635	0.0556035008255793	0.0667242009906952
